time lick 
36.560 0.000 
36.617 0.000 
36.673 0.000 
36.731 0.000 
36.787 0.000 
36.840 0.000 
36.896 0.000 
36.954 0.000 
37.010 0.000 
37.084 0.000 
37.139 0.000 
37.194 0.000 
37.252 0.000 
37.309 0.000 
37.371 0.000 
37.429 0.000 
37.483 0.000 
37.539 0.000 
37.595 0.000 
37.647 0.000 
37.700 0.000 
37.758 0.000 
37.814 0.000 
37.868 0.000 
37.919 0.000 
37.974 0.000 
38.029 0.000 
38.089 0.000 
38.148 0.000 
38.205 0.000 
38.263 0.000 
38.320 0.000 
38.377 0.000 
38.430 0.000 
38.471 0.000 
38.526 0.000 
38.603 0.000 
38.658 0.000 
38.717 0.000 
38.774 0.000 
38.827 0.000 
38.881 0.000 
38.925 0.000 
38.982 0.000 
39.046 0.000 
39.105 0.000 
39.164 0.000 
39.217 0.000 
39.273 0.000 
39.330 0.000 
39.384 0.000 
39.439 0.000 
39.493 0.000 
39.550 0.000 
39.603 0.000 
39.659 0.000 
39.715 0.000 
39.771 0.000 
39.826 0.000 
39.881 0.000 
39.934 0.000 
39.990 0.000 
40.048 0.000 
40.104 0.000 
40.163 0.000 
40.220 0.000 
40.276 0.000 
40.337 0.000 
40.381 0.000 
40.438 0.000 
40.493 0.000 
40.548 0.000 
40.603 0.000 
40.658 0.000 
40.712 0.000 
40.785 0.000 
40.842 0.000 
40.897 0.000 
40.952 0.000 
41.005 0.000 
41.063 0.000 
41.119 0.000 
41.193 0.000 
41.253 0.000 
41.307 0.000 
41.366 0.000 
41.420 0.000 
41.478 0.000 
41.531 0.000 
41.590 0.000 
41.647 0.000 
41.702 0.000 
41.755 0.000 
41.812 0.000 
41.867 0.000 
41.922 0.000 
41.978 0.000 
42.036 0.000 
42.093 0.000 
42.150 0.000 
42.208 0.000 
42.263 0.000 
42.320 0.000 
42.378 0.000 
42.431 0.000 
42.488 0.000 
42.550 0.000 
42.606 0.000 
42.661 0.000 
42.717 0.000 
42.771 0.000 
42.825 0.000 
42.881 0.000 
42.935 0.000 
42.992 0.000 
43.048 0.000 
43.104 0.000 
43.166 0.000 
43.223 0.000 
43.278 0.000 
43.333 0.000 
43.389 0.000 
43.443 0.000 
43.500 0.000 
43.556 0.000 
43.612 0.000 
43.665 0.000 
43.708 0.000 
43.765 0.000 
43.826 0.000 
43.883 0.000 
43.937 0.000 
43.993 0.000 
44.051 0.000 
44.102 0.000 
44.146 0.000 
44.204 0.000 
44.259 0.000 
44.319 0.000 
44.378 0.000 
44.436 0.000 
44.497 0.000 
44.555 0.000 
44.609 0.000 
44.664 0.000 
44.719 0.000 
44.772 0.000 
44.829 0.000 
44.883 0.000 
44.938 0.000 
44.989 0.000 
45.044 0.000 
45.099 0.000 
45.157 0.000 
45.213 0.000 
45.270 0.000 
45.327 0.000 
45.381 0.000 
45.437 0.000 
45.493 0.000 
45.550 0.000 
45.610 0.000 
45.668 0.000 
45.725 0.000 
45.781 0.000 
45.836 0.000 
45.893 0.000 
45.946 0.000 
46.000 0.000 
46.061 0.000 
46.119 0.000 
46.173 0.000 
46.233 0.000 
46.287 0.000 
46.343 0.000 
46.402 0.000 
46.465 0.000 
46.529 0.000 
46.585 0.000 
46.640 0.000 
46.694 0.000 
46.749 0.000 
46.803 0.000 
46.858 0.000 
46.913 0.000 
46.968 0.000 
47.024 0.000 
47.082 0.000 
47.138 0.000 
47.195 0.000 
47.253 0.000 
47.309 0.000 
47.363 0.000 
47.417 0.000 
47.475 0.000 
47.530 0.000 
47.586 0.000 
47.641 0.000 
47.696 0.000 
47.749 0.000 
47.804 0.000 
47.858 0.000 
47.915 0.000 
47.971 0.000 
48.026 0.000 
48.081 0.000 
48.135 0.000 
48.198 0.000 
48.255 0.000 
48.309 0.000 
48.367 0.000 
48.422 0.000 
48.479 0.000 
48.536 0.000 
48.592 0.000 
48.655 0.000 
48.716 0.000 
48.773 0.000 
48.827 0.000 
48.880 0.000 
48.935 0.000 
48.990 0.000 
49.046 0.000 
49.102 0.000 
49.158 0.000 
49.214 0.000 
49.272 0.000 
49.332 0.000 
49.387 0.000 
49.442 0.000 
49.496 0.000 
49.550 0.000 
49.603 0.000 
49.663 0.000 
49.718 0.000 
49.773 0.000 
49.826 0.000 
49.882 0.000 
49.936 0.000 
49.993 0.000 
50.037 0.000 
50.094 0.000 
50.151 0.000 
50.205 0.000 
50.259 0.000 
50.313 0.000 
50.367 0.000 
50.420 0.000 
50.476 0.000 
50.530 0.000 
50.585 0.000 
50.642 0.000 
50.697 0.000 
50.754 0.000 
50.811 0.000 
50.866 0.000 
50.921 0.000 
50.975 0.000 
51.029 0.000 
51.086 0.000 
51.140 0.000 
51.199 0.000 
51.257 0.000 
51.312 0.000 
51.363 0.000 
51.418 0.000 
51.474 0.000 
51.527 0.000 
51.583 0.000 
51.640 0.000 
51.696 0.000 
51.749 0.000 
51.807 0.000 
51.870 0.000 
51.928 0.000 
51.983 0.000 
52.039 0.000 
52.097 0.000 
52.150 0.000 
52.226 0.000 
52.284 0.000 
52.339 0.000 
52.394 0.000 
52.448 0.000 
52.503 0.000 
52.561 0.000 
52.621 0.000 
52.679 0.000 
52.735 0.000 
52.790 0.000 
52.851 0.000 
52.909 0.000 
52.962 0.000 
53.017 0.000 
53.073 0.000 
53.129 0.000 
53.185 0.000 
53.240 0.000 
53.298 0.000 
53.352 0.000 
53.407 0.000 
53.465 0.000 
53.519 0.000 
53.572 0.000 
53.632 0.000 
53.688 0.000 
53.742 0.000 
53.799 0.000 
53.853 0.000 
53.911 0.000 
53.968 0.000 
54.022 0.000 
54.075 0.000 
54.129 0.000 
54.186 0.000 
54.241 0.000 
54.294 0.000 
54.350 0.000 
54.409 0.000 
54.464 0.000 
54.519 0.000 
54.575 0.000 
54.629 0.000 
54.684 0.000 
54.740 0.000 
54.797 0.000 
54.852 0.000 
54.907 0.000 
54.963 0.000 
55.018 0.000 
55.072 0.000 
55.130 0.000 
55.183 0.000 
55.240 0.000 
55.291 0.000 
55.348 0.000 
55.402 0.000 
55.455 0.000 
55.509 0.000 
55.565 0.000 
55.622 0.000 
55.682 0.000 
55.739 0.000 
55.794 0.000 
55.853 0.000 
55.912 0.000 
55.971 0.000 
56.032 0.000 
56.087 0.000 
56.144 0.000 
56.200 0.000 
56.256 0.000 
56.310 0.000 
56.366 0.000 
56.421 0.000 
56.475 0.000 
56.529 0.000 
56.590 0.000 
56.650 0.000 
56.704 0.000 
56.760 0.000 
56.819 0.000 
56.875 0.000 
56.934 0.000 
56.998 0.000 
57.060 0.000 
57.117 0.000 
57.172 0.000 
57.226 0.000 
57.281 0.000 
57.337 0.000 
57.412 0.000 
57.470 0.000 
57.525 0.000 
57.584 0.000 
57.640 0.000 
57.697 0.000 
57.758 0.000 
57.814 0.000 
57.869 0.000 
57.928 0.000 
57.986 0.000 
58.042 0.000 
58.100 0.000 
58.157 0.000 
58.216 0.000 
58.290 0.000 
58.346 0.000 
58.403 0.000 
58.460 0.000 
58.517 0.000 
58.577 0.000 
58.632 0.000 
58.685 0.000 
58.741 0.000 
58.794 0.000 
58.849 0.000 
58.904 0.000 
58.960 0.000 
59.016 0.000 
59.072 0.000 
59.147 0.000 
59.203 0.000 
59.259 0.000 
59.314 0.000 
59.370 0.000 
59.431 0.000 
59.492 0.000 
59.552 0.000 
59.606 0.000 
59.661 0.000 
59.717 0.000 
59.774 0.000 
59.829 0.000 
59.881 0.000 
59.940 0.000 
59.995 0.000 
60.050 0.000 
60.109 0.000 
60.166 0.000 
60.225 0.000 
60.280 0.000 
60.336 0.000 
60.389 0.000 
60.441 0.000 
60.495 0.000 
60.571 0.000 
60.625 0.000 
60.680 0.000 
60.736 0.000 
60.796 0.000 
60.851 0.000 
60.908 0.000 
60.962 0.000 
61.019 0.000 
61.076 0.000 
61.132 0.000 
61.185 0.000 
61.241 0.000 
61.297 0.000 
61.350 0.000 
61.405 0.000 
61.475 0.000 
61.533 0.000 
61.590 0.000 
61.647 0.000 
61.700 0.000 
61.757 0.000 
61.811 0.000 
61.884 0.000 
61.940 0.000 
61.997 0.000 
62.052 0.000 
62.135 1.000 
62.211 1.000 
62.263 1.000 
62.346 1.000 
62.395 0.000 
62.456 0.000 
62.511 0.000 
62.569 0.000 
